product_id,product_name,price,quantity_available,category,brand,discount_percentage,shipping_method,customer_rating
1,smartwatch,970.43,844,home decor,Samsung,28.3,standard,4.6
2,sunglasses,97.74,657,sports,Adidas,45.25,expedited,1.4
3,scarf,250.0,382,clothing,Samsung,36.38,standard,2.0
4,headphones,712.24,732,home decor,Apple,13.31,expedited,2.5
5,headphones,482.67,217,home decor,Adidas,13.62,express,1.3
6,jeans,362.2,474,home decor,Sony,29.78,expedited,1.9
7,keyboard,798.63,230,electronics,Samsung,47.12,standard,2.9
8,smartphone,806.86,678,home decor,Samsung,3.67,express,4.6
9,t-shirt,95.73,285,electronics,Samsung,33.86,express,2.3
10,shoes,579.99,543,electronics,Sony,11.11,express,2.1
11,jacket,234.74,122,beauty,Adidas,23.19,express,3.6
12,headphones,950.92,28,sports,Apple,48.58,expedited,1.8
13,scarf,809.88,44,clothing,Adidas,27.14,expedited,5.0
14,smartwatch,239.42,331,home decor,Adidas,0.99,expedited,3.2
15,sunglasses,655.27,385,beauty,Samsung,22.82,express,4.1
16,wallet,235.44,227,clothing,Sony,35.41,expedited,4.5
17,keyboard,473.11,781,electronics,Sony,11.6,expedited,2.3
18,sunglasses,296.5,268,sports,Nike,38.73,standard,2.5
19,laptop,778.01,576,home decor,Sony,5.42,express,3.7
20,hat,757.29,671,electronics,Adidas,20.57,standard,4.6
21,smartwatch,88.69,170,electronics,Samsung,24.83,expedited,1.0
22,mouse,264.92,324,clothing,Sony,23.06,express,1.7
23,headphones,519.81,48,clothing,Samsung,4.26,expedited,1.6
24,scarf,973.26,165,clothing,Sony,25.85,standard,4.8
25,dress,445.57,611,sports,Adidas,44.32,express,4.0
26,t-shirt,941.8,105,electronics,Apple,44.99,expedited,1.5
27,jacket,475.16,940,home decor,Samsung,49.59,express,2.3
28,keyboard,876.31,687,electronics,Apple,35.56,expedited,3.6
29,gaming console,417.3,183,sports,Nike,4.81,standard,3.1
30,keyboard,380.6,390,home decor,Apple,45.75,express,2.6
31,wallet,295.93,202,home decor,Adidas,35.76,express,3.7
32,tablet,131.11,934,electronics,Samsung,38.19,standard,3.7
33,mouse,705.07,926,sports,Sony,40.71,express,2.3
